"","PC_K30_1.2_Me.degree","PC_K30_1.2_Me.betweenness","PC_K30_1.2_Me.closeness","PC_K30_1.2_Me.eigenCentrality","PC_K30_1.2_Me.nNeg","PC_K30_1.2_Me.nPos","PC_K30_1.2_Me.mutualInfo","PC_K30_1.2_Me.variance","PC_K30_1.2_Me.partialVar","PC_K70_1.2_Me.degree","PC_K70_1.2_Me.betweenness","PC_K70_1.2_Me.closeness","PC_K70_1.2_Me.eigenCentrality","PC_K70_1.2_Me.nNeg","PC_K70_1.2_Me.nPos","PC_K70_1.2_Me.mutualInfo","PC_K70_1.2_Me.variance","PC_K70_1.2_Me.partialVar"
"ENSSSCG00000000978",29,0.852380952380952,0.0153846153846154,0.714035226372966,13,16,0.00197105879985127,1.00197300261317,1,28,0.484848484848485,0.0151515151515152,0.671655972621027,5,23,0.0013266555139397,1.00132753591063,1
"ENSSSCG00000001616",28,0.86218487394958,0.0151515151515152,0.667802850824942,9,19,0.00189474144475803,1.00189653760157,1,28,0.484848484848485,0.0151515151515152,0.671655972621028,5,23,0.00132665551393992,1.00132753591063,1
"ENSSSCG00000001620",28,0.86218487394958,0.0151515151515152,0.667802850824943,9,19,0.00189474144475804,1.00189653760157,1,28,1.1991341991342,0.0151515151515152,0.656366593574614,18,10,0.00119871418102615,1.00119943292601,1
"ENSSSCG00000001906",37,27.8181818181818,0.0175438596491228,0.795062968303194,24,13,0.00189264470441671,1.00189443688687,1,28,0.484848484848485,0.0151515151515152,0.671655972621027,5,23,0.00132665551394035,1.00132753591063,1
"ENSSSCG00000002385",26,0,0.0147058823529412,0.642717371978386,12,14,0.00132675271687781,1.00132763324262,1,28,1.1991341991342,0.0151515151515152,0.656366593574614,11,17,0.00119871418102939,1.00119943292601,1
"ENSSSCG00000002720",29,0.852380952380952,0.0153846153846154,0.714035226372966,13,16,0.001971058799868,1.00197300261317,1,28,0.484848484848485,0.0151515151515152,0.671655972621027,5,23,0.0013266555139384,1.00132753591063,1
"ENSSSCG00000002962",44,32.3181818181818,0.02,0.999999999999999,17,27,0.00157664841715403,1.00157789198072,1,28,1.1991341991342,0.0151515151515152,0.656366593574615,11,17,0.00119871418101797,1.00119943292602,1
"ENSSSCG00000003368",28,0.86218487394958,0.0151515151515152,0.667802850824943,20,8,0.00189474144477372,1.00189653760157,1,45,38.475,0.0204081632653061,0.999999999999999,19,26,0.00113084316785,1.00113148281208,1
"ENSSSCG00000004013",29,0.852380952380952,0.0153846153846154,0.714035226372966,17,12,0.00197105879985697,1.00197300261317,1,28,1.1991341991342,0.0151515151515152,0.656366593574614,18,10,0.00119871418101538,1.00119943292602,1
"ENSSSCG00000006820",29,0.852380952380952,0.0153846153846154,0.714035226372966,13,16,0.00197105879985698,1.00197300261317,1,28,0.484848484848485,0.0151515151515152,0.671655972621027,24,4,0.00132665551392763,1.00132753591063,1
"ENSSSCG00000007239",28,0.86218487394958,0.0151515151515152,0.667802850824942,9,19,0.00189474144477032,1.00189653760157,1,28,0.484848484848485,0.0151515151515152,0.671655972621027,5,23,0.00132665551392763,1.00132753591063,1
"ENSSSCG00000007508",44,32.3181818181818,0.02,1,17,27,0.00157664841714768,1.00157789198072,1,28,0.484848484848485,0.0151515151515152,0.671655972621028,5,23,0.00132665551392763,1.00132753591063,1
"ENSSSCG00000007682",28,0.86218487394958,0.0151515151515152,0.667802850824942,9,19,0.00189474144476842,1.00189653760157,1,28,1.1991341991342,0.0151515151515152,0.656366593574615,11,17,0.00119871418101215,1.00119943292601,1
"ENSSSCG00000008976",28,0.86218487394958,0.0151515151515152,0.667802850824943,9,19,0.00189474144476842,1.00189653760157,1,28,1.1991341991342,0.0151515151515152,0.656366593574614,11,17,0.00119871418101236,1.00119943292602,1
"ENSSSCG00000009616",44,32.3181818181818,0.02,1,17,27,0.0015766484171464,1.00157789198072,1,28,1.1991341991342,0.0151515151515152,0.656366593574614,11,17,0.00119871418101258,1.00119943292602,1
"ENSSSCG00000013767",29,0.852380952380952,0.0153846153846154,0.714035226372966,17,12,0.00197105879985252,1.00197300261317,1,28,0.484848484848485,0.0151515151515152,0.671655972621028,5,23,0.00132665551392009,1.00132753591063,1
"ENSSSCG00000014039",28,0.86218487394958,0.0151515151515152,0.667802850824943,20,8,0.00189474144476142,1.00189653760157,1,45,38.475,0.0204081632653061,0.999999999999999,19,26,0.0011308431678457,1.00113148281208,1
"ENSSSCG00000014875",29,0.852380952380952,0.0153846153846154,0.714035226372966,17,12,0.0019710587998502,1.00197300261317,1,26,0,0.0147058823529412,0.613500982544153,17,9,0.00089249475901413,1.00089289315098,1
"ENSSSCG00000015660",29,0.852380952380952,0.0153846153846154,0.714035226372966,17,12,0.00197105879984998,1.00197300261317,1,45,38.475,0.0204081632653061,1,19,26,0.00113084316784418,1.00113148281208,1
"ENSSSCG00000016659",29,0.852380952380952,0.0153846153846154,0.714035226372966,17,12,0.00197105879984977,1.00197300261317,1,28,0.484848484848485,0.0151515151515152,0.671655972621027,5,23,0.00132665551391362,1.00132753591063,1
"ENSSSCG00000017181",37,27.8181818181818,0.0175438596491228,0.795062968303194,24,13,0.00189264470440653,1.00189443688688,1,28,0.484848484848485,0.0151515151515152,0.671655972621027,5,23,0.00132665551391384,1.00132753591063,1
"ENSSSCG00000017200",29,0.852380952380952,0.0153846153846154,0.714035226372966,17,12,0.00197105879984893,1.00197300261317,1,45,38.475,0.0204081632653061,1,27,18,0.00113084316784095,1.00113148281208,1
"ENSSSCG00000017763",28,0.86218487394958,0.0151515151515152,0.667802850824943,9,19,0.00189474144475867,1.00189653760157,1,45,38.475,0.0204081632653061,1,19,26,0.00113084316784095,1.00113148281208,1
"ENSSSCG00000022009",29,0.852380952380952,0.0153846153846154,0.714035226372966,13,16,0.00197105879984957,1.00197300261317,1,28,0.484848484848485,0.0151515151515152,0.671655972621027,5,23,0.00132665551390802,1.00132753591063,1
"ENSSSCG00000023487",44,32.3181818181818,0.02,1,17,27,0.00157664841714682,1.00157789198072,1,28,1.1991341991342,0.0151515151515152,0.656366593574614,11,17,0.00119871418099555,1.00119943292602,1
"ENSSSCG00000023933",29,0.852380952380952,0.0153846153846154,0.714035226372966,17,12,0.0019710587998502,1.00197300261317,1,26,0,0.0147058823529412,0.613500982544153,10,16,0.000892494759008957,1.00089289315098,1
"ENSSSCG00000024718",29,0.852380952380952,0.0153846153846154,0.714035226372966,13,16,0.00197105879985063,1.00197300261317,1,28,1.1991341991342,0.0151515151515152,0.656366593574614,11,17,0.00119871418099404,1.00119943292602,1
"ENSSSCG00000026333",28,0.86218487394958,0.0151515151515152,0.667802850824943,9,19,0.00189474144476227,1.00189653760157,1,28,0.484848484848485,0.0151515151515152,0.671655972621027,5,23,0.0013266555139063,1.00132753591063,1
"ENSSSCG00000027480",28,0.86218487394958,0.0151515151515152,0.667802850824942,9,19,0.00189474144476248,1.00189653760157,1,28,0.484848484848485,0.0151515151515152,0.671655972621028,5,23,0.0013266555139063,1.00132753591063,1
"ENSSSCG00000028218",29,0.852380952380952,0.0153846153846154,0.714035226372966,13,16,0.00197105879985317,1.00197300261317,1,28,1.1991341991342,0.0151515151515152,0.656366593574614,11,17,0.00119871418099188,1.00119943292602,1
"ENSSSCG00000030906",28,0.86218487394958,0.0151515151515152,0.667802850824943,9,19,0.00189474144476334,1.00189653760157,1,28,1.1991341991342,0.0151515151515152,0.656366593574614,11,17,0.00119871418099145,1.00119943292602,1
"ENSSSCG00000031129",37,27.8181818181818,0.0175438596491228,0.795062968303194,14,23,0.00189264470441543,1.00189443688687,1,26,0,0.0147058823529412,0.613500982544154,10,16,0.000892494759005942,1.00089289315098,1
"ENSSSCG00000032115",28,0.86218487394958,0.0151515151515152,0.667802850824943,9,19,0.00189474144476354,1.00189653760157,1,28,0.484848484848485,0.0151515151515152,0.671655972621027,5,23,0.00132665551390587,1.00132753591063,1
"ENSSSCG00000033178",28,0.86218487394958,0.0151515151515152,0.667802850824943,9,19,0.00189474144476333,1.00189653760157,1,28,1.1991341991342,0.0151515151515152,0.656366593574614,11,17,0.00119871418099275,1.00119943292602,1
"ENSSSCG00000033392",29,0.852380952380952,0.0153846153846154,0.714035226372966,17,12,0.00197105879985805,1.00197300261317,1,28,0.484848484848485,0.0151515151515152,0.671655972621027,5,23,0.00132665551390651,1.00132753591063,1
"ENSSSCG00000034989",28,0.86218487394958,0.0151515151515152,0.667802850824942,20,8,0.0018947414447646,1.00189653760157,1,34,26.6,0.0166666666666667,0.707670530840369,5,29,0.00118798122106397,1.00118868715029,1
"ENSSSCG00000035152",25,0,0.0144927536231884,0.596484996430362,19,6,0.00128623813476789,1.00128706569381,1,45,38.475,0.0204081632653061,1,27,18,0.00113084316784742,1.00113148281208,1
"ENSSSCG00000035521",28,0.86218487394958,0.0151515151515152,0.667802850824942,9,19,0.00189474144476291,1.00189653760157,1,45,38.475,0.0204081632653061,0.999999999999999,19,26,0.00113084316784742,1.00113148281208,1
"ENSSSCG00000036049",28,0.86218487394958,0.0151515151515152,0.667802850824942,9,19,0.00189474144476312,1.00189653760157,1,28,0.484848484848485,0.0151515151515152,0.671655972621028,5,23,0.00132665551390651,1.00132753591063,1
"ENSSSCG00000036537",44,32.3181818181818,0.02,1,17,27,0.00157664841715593,1.00157789198072,1,28,1.1991341991342,0.0151515151515152,0.656366593574614,11,17,0.00119871418099447,1.00119943292602,1
"ENSSSCG00000037260",29,0.852380952380952,0.0153846153846154,0.714035226372966,13,16,0.00197105879985359,1.00197300261317,1,28,1.1991341991342,0.0151515151515152,0.656366593574614,11,17,0.00119871418099404,1.00119943292602,1
"ENSSSCG00000038492",44,32.3181818181818,0.02,1,28,16,0.0015766484171572,1.00157789198072,1,26,0,0.0147058823529412,0.613500982544153,17,9,0.000892494759012191,1.00089289315098,1
"ENSSSCG00000038508",44,32.3181818181818,0.02,1,28,16,0.00157664841715678,1.00157789198072,1,28,0.484848484848485,0.0151515151515152,0.671655972621027,24,4,0.00132665551390931,1.00132753591063,1
"ENSSSCG00000039272",29,0.852380952380952,0.0153846153846154,0.714035226372966,17,12,0.00197105879985465,1.00197300261317,1,28,0.484848484848485,0.0151515151515152,0.671655972621028,5,23,0.00132665551390931,1.00132753591063,1
"ENSSSCG00000039322",28,0.86218487394958,0.0151515151515152,0.667802850824943,20,8,0.00189474144476376,1.00189653760157,1,26,0,0.0147058823529412,0.613500982544153,10,16,0.000892494759012409,1.00089289315098,1
"ENSSSCG00000039862",29,0.852380952380952,0.0153846153846154,0.714035226372966,17,12,0.00197105879985486,1.00197300261317,1,34,26.6,0.0166666666666667,0.707670530840369,30,4,0.00118798122106526,1.00118868715029,1
"ENSSSCG00000048583",44,32.3181818181818,0.02,1,17,27,0.00157664841715636,1.00157789198072,1,28,0.484848484848485,0.0151515151515152,0.671655972621027,5,23,0.00132665551390845,1.00132753591063,1
"ENSSSCG00000051274",29,0.852380952380952,0.0153846153846154,0.714035226372966,13,16,0.00197105879985465,1.00197300261317,1,45,38.475,0.0204081632653061,1,19,26,0.00113084316784957,1.00113148281208,1
