"","PC_S70_2.3_Ec.degree","PC_S70_2.3_Ec.betweenness","PC_S70_2.3_Ec.closeness","PC_S70_2.3_Ec.eigenCentrality","PC_S70_2.3_Ec.nNeg","PC_S70_2.3_Ec.nPos","PC_S70_2.3_Ec.mutualInfo","PC_S70_2.3_Ec.variance","PC_S70_2.3_Ec.partialVar","PC_SNB_2.3_Ec.degree","PC_SNB_2.3_Ec.betweenness","PC_SNB_2.3_Ec.closeness","PC_SNB_2.3_Ec.eigenCentrality","PC_SNB_2.3_Ec.nNeg","PC_SNB_2.3_Ec.nPos","PC_SNB_2.3_Ec.mutualInfo","PC_SNB_2.3_Ec.variance","PC_SNB_2.3_Ec.partialVar"
"ENSSSCG00000000138",66,3.29218510851722,0.0125,0.933032609810252,37,29,0.000232072669441443,1.00023209960037,1,41,0.87246963562753,0.00952380952380952,0.59569520781951,23,18,0.00518017766170745,1.00519361797973,1
"ENSSSCG00000001910",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163504862,1.00027995634396,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,22,22,0.00556059672315465,1.00557608553682,1
"ENSSSCG00000002385",72,6.52186389059916,0.0135135135135135,1,37,35,0.000275725420953605,1.00027576343671,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,22,22,0.00556059672315465,1.00557608553682,1
"ENSSSCG00000002812",66,3.29218510851722,0.0125,0.933032609810252,30,36,0.000232072669443643,1.00023209960037,1,70,74.2,0.0131578947368421,1,37,33,0.00439823205374312,1.00440791847218,1
"ENSSSCG00000002815",72,6.52186389059916,0.0135135135135135,1,37,35,0.000275725420958221,1.00027576343671,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,23,18,0.00518017766171069,1.00519361797973,1
"ENSSSCG00000002954",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163509263,1.00027995634396,1,70,74.2,0.0131578947368421,1,34,36,0.00439823205374434,1.00440791847218,1
"ENSSSCG00000002993",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163509263,1.00027995634397,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,19,22,0.00518017766171144,1.00519361797974,1
"ENSSSCG00000003146",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163509261,1.00027995634396,1,44,0.623089983022071,0.00980392156862745,0.702896125992802,23,21,0.00556059672316328,1.00557608553682,1
"ENSSSCG00000003211",72,6.52186389059916,0.0135135135135135,1,36,36,0.000275725420958661,1.00027576343671,1,70,74.2,0.0131578947368421,1,37,33,0.00439823205373183,1.00440791847218,1
"ENSSSCG00000003466",41,0,0.00952380952380952,0.578860893974514,19,22,0.000171200732083642,1.00017121538776,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,19,22,0.00518017766169329,1.00519361797973,1
"ENSSSCG00000003468",66,3.29218510851722,0.0125,0.933032609810252,30,36,0.000232072669431328,1.00023209960037,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,23,21,0.00556059672316189,1.00557608553683,1
"ENSSSCG00000004834",51,0.0149253731343284,0.0105263157894737,0.731327926698981,25,26,0.000208442132332547,1.00020846385789,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,22,22,0.00556059672316189,1.00557608553683,1
"ENSSSCG00000005723",72,6.52186389059916,0.0135135135135135,1,36,36,0.000275725420968339,1.00027576343671,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,19,22,0.0051801776616886,1.00519361797973,1
"ENSSSCG00000006466",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163502225,1.00027995634397,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,22,22,0.00556059672314752,1.00557608553682,1
"ENSSSCG00000007116",66,3.29218510851722,0.0125,0.933032609810252,37,29,0.000232072669442543,1.00023209960037,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,22,22,0.00556059672314749,1.00557608553682,1
"ENSSSCG00000008722",72,6.52186389059916,0.0135135135135135,1,36,36,0.000275725420972078,1.00027576343671,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,19,22,0.00518017766167173,1.00519361797973,1
"ENSSSCG00000009616",41,0,0.00952380952380952,0.578860893974514,19,22,0.000171200732093979,1.00017121538776,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,19,22,0.00518017766167159,1.00519361797973,1
"ENSSSCG00000009817",72,6.52186389059916,0.0135135135135135,0.999999999999999,37,35,0.000275725420974936,1.00027576343671,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,22,22,0.00556059672314568,1.00557608553682,1
"ENSSSCG00000010533",72,6.52186389059916,0.0135135135135135,0.999999999999999,36,36,0.000275725420974936,1.00027576343671,1,44,0.623089983022071,0.00980392156862745,0.702896125992802,23,21,0.00556059672314585,1.00557608553682,1
"ENSSSCG00000010791",72,6.52186389059916,0.0135135135135135,1,36,36,0.000275725420975158,1.00027576343671,1,70,74.2,0.0131578947368421,1,34,36,0.00439823205370996,1.00440791847218,1
"ENSSSCG00000010900",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163516523,1.00027995634397,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,19,22,0.00518017766166495,1.00519361797973,1
"ENSSSCG00000011087",72,6.52186389059916,0.0135135135135135,1,37,35,0.000275725420972957,1.00027576343671,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,19,22,0.00518017766166493,1.00519361797973,1
"ENSSSCG00000013030",66,3.29218510851722,0.0125,0.933032609810252,37,29,0.000232072669436607,1.00023209960037,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,23,18,0.0051801776616649,1.00519361797973,1
"ENSSSCG00000014447",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163505304,1.00027995634396,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,23,21,0.00556059672314427,1.00557608553682,1
"ENSSSCG00000015205",66,3.29218510851722,0.0125,0.933032609810252,37,29,0.000232072669432207,1.00023209960037,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,19,22,0.00518017766165468,1.00519361797973,1
"ENSSSCG00000016199",41,0,0.00952380952380952,0.578860893974514,19,22,0.000171200732077485,1.00017121538776,1,41,0,0.00952380952380952,0.654459595493218,22,19,0.00373282196878211,1.00373979762567,1
"ENSSSCG00000016335",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163503764,1.00027995634396,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,19,22,0.00518017766166493,1.00519361797973,1
"ENSSSCG00000017005",66,3.29218510851722,0.0125,0.933032609810252,37,29,0.000232072669426708,1.00023209960037,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,23,21,0.0055605967231441,1.00557608553682,1
"ENSSSCG00000017091",41,0,0.00952380952380952,0.578860893974514,19,22,0.000171200732075726,1.00017121538776,1,44,0.623089983022071,0.00980392156862745,0.702896125992802,23,21,0.00556059672314407,1.00557608553682,1
"ENSSSCG00000017238",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163509702,1.00027995634396,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,19,22,0.00518017766167034,1.00519361797973,1
"ENSSSCG00000021688",72,6.52186389059916,0.0135135135135135,0.999999999999999,36,36,0.000275725420956682,1.00027576343671,1,44,0.623089983022071,0.00980392156862745,0.702896125992802,22,22,0.00556059672315432,1.00557608553682,1
"ENSSSCG00000021971",66,3.29218510851722,0.0125,0.933032609810252,30,36,0.00023207266942649,1.00023209960037,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,22,22,0.00556059672315432,1.00557608553682,1
"ENSSSCG00000022553",72,6.52186389059916,0.0135135135135135,1,37,35,0.00027572542096042,1.00027576343671,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,19,22,0.00518017766167087,1.00519361797973,1
"ENSSSCG00000023933",41,0,0.00952380952380952,0.588619489386598,21,20,0.000171581124409417,1.00017159584527,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,23,18,0.0051801776616705,1.00519361797973,1
"ENSSSCG00000024610",72,6.52186389059916,0.0135135135135135,1,37,35,0.000275725420959102,1.00027576343671,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,23,18,0.0051801776616707,1.00519361797973,1
"ENSSSCG00000024633",66,3.29218510851722,0.0125,0.933032609810252,30,36,0.00023207266942649,1.00023209960037,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,23,18,0.00518017766167067,1.00519361797973,1
"ENSSSCG00000024917",66,3.29218510851722,0.0125,0.933032609810252,30,36,0.00023207266942649,1.00023209960037,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,22,22,0.00556059672315842,1.00557608553682,1
"ENSSSCG00000026229",66,3.29218510851722,0.0125,0.933032609810252,37,29,0.000232072669426269,1.00023209960037,1,70,74.2,0.0131578947368421,1,34,36,0.00439823205373396,1.00440791847218,1
"ENSSSCG00000026427",68,3.42391598915989,0.0128205128205128,0.959904847926514,35,33,0.000278267041786231,1.00027830576166,1,38,0,0.00925925925925926,0.547258677319926,22,16,0.0036053042405523,1.00361181116738,1
"ENSSSCG00000026689",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.00027991716351586,1.00027995634396,1,70,74.2,0.0131578947368421,1,37,33,0.00439823205373738,1.00440791847218,1
"ENSSSCG00000026945",66,3.29218510851722,0.0125,0.933032609810252,37,29,0.00023207266943001,1.00023209960037,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,23,21,0.00556059672315684,1.00557608553682,1
"ENSSSCG00000029339",66,3.29218510851722,0.0125,0.933032609810252,37,29,0.000232072669430008,1.00023209960037,1,70,74.2,0.0131578947368421,1,34,36,0.00439823205373574,1.00440791847218,1
"ENSSSCG00000029408",51,0.0149253731343284,0.0105263157894737,0.731327926698981,25,26,0.000208442132344864,1.00020846385789,1,38,0,0.00925925925925926,0.547258677319926,22,16,0.00360530424054994,1.00361181116738,1
"ENSSSCG00000029752",72,6.52186389059916,0.0135135135135135,1,36,36,0.000275725420953162,1.00027576343671,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,19,22,0.00518017766168127,1.00519361797973,1
"ENSSSCG00000029763",72,6.52186389059916,0.0135135135135135,0.999999999999999,37,35,0.000275725420953162,1.00027576343671,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,19,22,0.00518017766168161,1.00519361797973,1
"ENSSSCG00000031088",71,6.39883040935672,0.0133333333333333,0.985811759099192,37,34,0.000274075283413246,1.00027411284545,1,59,62,0.0114942528735632,0.800398989212259,35,24,0.00528964557702549,1.00530366045256,1
"ENSSSCG00000031487",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163513881,1.00027995634396,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,23,21,0.00556059672315193,1.00557608553682,1
"ENSSSCG00000031589",51,0.0149253731343284,0.0105263157894737,0.731327926698981,25,26,0.000208442132336947,1.00020846385789,1,59,62,0.0114942528735632,0.800398989212259,25,34,0.00528964557702657,1.00530366045256,1
"ENSSSCG00000033018",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163511462,1.00027995634396,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,23,21,0.0055605967231534,1.00557608553682,1
"ENSSSCG00000033392",51,0.0149253731343284,0.0105263157894737,0.731327926698981,25,26,0.000208442132334088,1.0002084638579,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,23,21,0.00556059672315323,1.00557608553682,1
"ENSSSCG00000033648",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163508604,1.00027995634396,1,44,0.623089983022071,0.00980392156862745,0.702896125992802,23,21,0.00556059672315357,1.00557608553682,1
"ENSSSCG00000033822",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163508602,1.00027995634396,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,22,22,0.00556059672315357,1.00557608553682,1
"ENSSSCG00000035594",66,3.29218510851722,0.0125,0.933032609810252,37,29,0.00023207266942297,1.00023209960037,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,23,18,0.0051801776616886,1.00519361797973,1
"ENSSSCG00000035649",72,6.52186389059916,0.0135135135135135,0.999999999999999,37,35,0.000275725420951401,1.00027576343671,1,70,74.2,0.0131578947368421,1,37,33,0.0043982320537492,1.00440791847218,1
"ENSSSCG00000035772",66,3.29218510851722,0.0125,0.933032609810253,37,29,0.000232072669422311,1.00023209960037,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,19,22,0.0051801776616868,1.00519361797973,1
"ENSSSCG00000035904",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163510141,1.00027995634396,1,44,0.623089983022071,0.00980392156862745,0.702896125992802,23,21,0.00556059672315534,1.00557608553682,1
"ENSSSCG00000036049",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163510141,1.00027995634396,1,70,74.2,0.0131578947368421,0.999999999999999,34,36,0.00439823205375098,1.00440791847218,1
"ENSSSCG00000038094",51,0.0149253731343284,0.0105263157894737,0.731327926698981,25,26,0.000208442132336067,1.00020846385789,1,59,62,0.0114942528735632,0.800398989212259,35,24,0.00528964557703643,1.00530366045256,1
"ENSSSCG00000038095",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.00027991716351102,1.00027995634396,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,22,22,0.00556059672315626,1.00557608553682,1
"ENSSSCG00000038492",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163511242,1.00027995634396,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,23,18,0.0051801776616931,1.00519361797973,1
"ENSSSCG00000039322",72,6.52186389059916,0.0135135135135135,0.999999999999999,37,35,0.000275725420950303,1.00027576343671,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,22,22,0.0055605967231584,1.00557608553682,1
"ENSSSCG00000039488",66,3.29218510851722,0.0125,0.933032609810252,30,36,0.000232072669417691,1.00023209960037,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,23,18,0.0051801776616931,1.00519361797973,1
"ENSSSCG00000039651",72,6.52186389059916,0.0135135135135135,0.999999999999999,36,36,0.000275725420949642,1.00027576343671,1,38,0,0.00925925925925926,0.547258677319926,22,16,0.00360530424055999,1.00361181116738,1
"ENSSSCG00000039842",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163510581,1.00027995634396,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,23,21,0.00556059672315803,1.00557608553682,1
"ENSSSCG00000041966",72,6.52186389059916,0.0135135135135135,0.999999999999999,37,35,0.000275725420948544,1.00027576343671,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,22,22,0.0055605967231584,1.00557608553682,1
"ENSSSCG00000042225",72,6.52186389059916,0.0135135135135135,1,36,36,0.000275725420948544,1.00027576343671,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,22,22,0.0055605967231577,1.00557608553682,1
"ENSSSCG00000045443",51,0.0149253731343284,0.0105263157894737,0.731327926698981,27,24,0.000208442132336726,1.00020846385789,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,19,22,0.00518017766169418,1.00519361797973,1
"ENSSSCG00000046937",51,0.0149253731343284,0.0105263157894737,0.731327926698981,27,24,0.000208442132336726,1.00020846385789,1,44,0.623089983022071,0.00980392156862745,0.702896125992802,22,22,0.00556059672315734,1.00557608553682,1
"ENSSSCG00000049399",66,3.29218510851722,0.0125,0.933032609810252,30,36,0.000232072669418791,1.00023209960037,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,19,22,0.00518017766169435,1.00519361797973,1
"ENSSSCG00000050623",72,6.52186389059916,0.0135135135135135,0.999999999999999,37,35,0.000275725420948765,1.00027576343671,1,70,74.2,0.0131578947368421,1,37,33,0.00439823205375367,1.00440791847218,1
"ENSSSCG00000050750",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.00027991716350992,1.00027995634396,1,41,0.87246963562753,0.00952380952380952,0.595695207819511,19,22,0.00518017766169543,1.00519361797973,1
"ENSSSCG00000051054",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163509702,1.00027995634396,1,44,0.623089983022071,0.00980392156862745,0.702896125992802,22,22,0.00556059672315734,1.00557608553682,1
"ENSSSCG00000051361",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163509922,1.00027995634396,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,23,21,0.00556059672315751,1.00557608553682,1
"ENSSSCG00000051428",69,3.46384136229422,0.012987012987013,0.974476015840877,35,34,0.000279917163509922,1.00027995634396,1,44,0.623089983022071,0.00980392156862745,0.702896125992803,22,22,0.00556059672315734,1.00557608553682,1
